trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,condsFile,readyMsg,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ins1_key.started,ins1_image.started,ins1_key.keys,ins1_key.rt,ins1_key.duration,text_2.started,ins2_key.started,text_3.started,ins3_key.started,box_show_2.started,F1_2.started,key_resp_2.started,box_show_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fish_key_2.corr,Begin_txt.started,ExpStart_key.started,ExpStart_key.keys,ExpStart_key.rt,ExpStart_key.duration,box_show.started,F1.started,fish_key_button.started,box_show.stopped,fish_key_button.keys,fish_key_button.rt,fish_key_button.duration,fish_key.corr,fish_interval,key_time,breakStart_txt.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.20722486299928,40.20722486299928,space,10.862561792018823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2023-07-21_14h53.44.789,FishGame,2023.1.3,60.94226689283567,
1,stimuli/bead_y.PNG,stimuli/blank.JPG,stimuli/blank.JPG,stimuli/blank.JPG,stimuli/blank.JPG,1,2,up,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,51.110511147999205,51.110511147999205,63.157853749988135,63.157853749988135,65.73769714299124,66.65989981696475,66.65989981696475,66.74323940795148,up,2.2330268020159565,None,1,,,,,,,,,,,,,,,,,99,2023-07-21_14h53.44.789,FishGame,2023.1.3,60.94226689283567,
2,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.JPG,stimuli/blank.JPG,stimuli/blank.JPG,1,2,up,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,69.73644636297831,70.71182582899928,70.71182582899928,70.74513546499657,up,0.41691622795769945,None,1,,,,,,,,,,,,,,,,,99,2023-07-21_14h53.44.789,FishGame,2023.1.3,60.94226689283567,
3,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.JPG,stimuli/blank.JPG,1,2,up,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,71.97024158097338,72.44595570099773,72.44595570099773,72.47931939194677,up,0.46264196996344253,None,1,,,,,,,,,,,,,,,,,99,2023-07-21_14h53.44.789,FishGame,2023.1.3,60.94226689283567,
4,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.JPG,1,2,up,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,73.75733961298829,74.23123597697122,74.23123597697122,74.2637847509468,up,0.7628322130185552,None,1,,,,,,,,,,,,,,,,,99,2023-07-21_14h53.44.789,FishGame,2023.1.3,60.94226689283567,
5,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,75.86616512999171,76.79846948297927,76.79846948297927,76.86523633199977,up,0.38677171600284055,None,1,,,,,,,,,,,,,,,,,99,2023-07-21_14h53.44.789,FishGame,2023.1.3,60.94226689283567,
6,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,78.04276683198987,78.51621302298736,78.51621302298736,78.54988966998644,up,0.4657048269873485,None,1,,,,,,,,,,,,,,,,,99,2023-07-21_14h53.44.789,FishGame,2023.1.3,60.94226689283567,
7,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,79.82673707895447,81.30107100994792,81.30107100994792,81.33440527197672,up,0.4193395430338569,None,1,,,,,,,,,,,,,,,,,99,2023-07-21_14h53.44.789,FishGame,2023.1.3,60.94226689283567,
8,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,1,2,up,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,82.58124012796907,83.53569804597646,83.53569804597646,83.58568324299995,up,0.7627771369880065,None,1,,,,,,,,,,,,,,,,,99,2023-07-21_14h53.44.789,FishGame,2023.1.3,60.94226689283567,
9,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,85.14891857199837,85.60356783197494,85.60356783197494,85.65361112100072,up,0.5677697409992106,None,1,,,,,,,,,,,,,,,,,99,2023-07-21_14h53.44.789,FishGame,2023.1.3,60.94226689283567,
