trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,condsFile,readyMsg,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ins1_key.started,ins1_image.started,text_1b.started,ins1_key.keys,ins1_key.rt,ins1_key.duration,text_2.started,ins2_key.started,inst2_image.started,text_3.started,ins3_key.started,inst3_image.started,box_show_2.started,F1_2.started,key_resp_2.started,box_show_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fish_key_2.corr,Begin_txt.started,ExpStart_key.started,ExpStart_key.keys,ExpStart_key.rt,ExpStart_key.duration,box_show.started,F1.started,fish_key_button.started,box_show.stopped,fish_key_button.keys,fish_key_button.rt,fish_key_button.duration,fish_key.corr,fish_interval,key_time,breakStart_txt.started,reward_block_chosen,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.373777116008569,15.373777116008569,15.373777116008569,space,5.411924438958522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2023-07-24_16h00.49.775,FishGame,2023.1.3,59.85603473686067,
1,stimuli/bead_y.PNG,stimuli/blank.JPG,stimuli/blank.JPG,stimuli/blank.JPG,stimuli/blank.JPG,1,2,up,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,20.814886192965787,20.814886192965787,20.814886192965787,24.327726496965624,24.327726496965624,24.327726496965624,26.63716004998423,27.079452175006736,27.079452175006736,27.146080132981297,up,1.7132009729975834,None,1,,,,,,,,,,,,,,,,,,99,2023-07-24_16h00.49.775,FishGame,2023.1.3,59.85603473686067,
2,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.JPG,stimuli/blank.JPG,stimuli/blank.JPG,1,2,up,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,29.63832339696819,31.11522952397354,31.11522952397354,31.14832956797909,up,0.5340130800032057,None,1,,,,,,,,,,,,,,,,,,99,2023-07-24_16h00.49.775,FishGame,2023.1.3,59.85603473686067,
3,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.JPG,stimuli/blank.JPG,1,2,up,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,32.50641765596811,32.96690292400308,32.96690292400308,33.01693595899269,up,0.7824441830161959,None,1,,,,,,,,,,,,,,,,,,99,2023-07-24_16h00.49.775,FishGame,2023.1.3,59.85603473686067,
4,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.JPG,1,2,up,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,34.59508392197313,35.067320376983844,35.067320376983844,35.1006633299985,up,0.9265612640301697,None,1,,,,,,,,,,,,,,,,,,99,2023-07-24_16h00.49.775,FishGame,2023.1.3,59.85603473686067,
5,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,36.84652903699316,38.30252491298597,38.30252491298597,38.35235980799189,up,0.5088612060062587,None,1,,,,,,,,,,,,,,,,,,99,2023-07-24_16h00.49.775,FishGame,2023.1.3,59.85603473686067,
6,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,39.66311649297131,40.62027330696583,40.62027330696583,40.670478499960154,up,0.4872762890299782,None,1,,,,,,,,,,,,,,,,,,99,2023-07-24_16h00.49.775,FishGame,2023.1.3,59.85603473686067,
7,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,41.968542465008795,43.422455371008255,43.422455371008255,43.47214890999021,up,0.601236299960874,None,1,,,,,,,,,,,,,,,,,,99,2023-07-24_16h00.49.775,FishGame,2023.1.3,59.85603473686067,
8,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,1,2,up,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,44.88530943496153,46.341452514985576,46.341452514985576,46.39060917100869,up,0.6314870959613472,None,1,,,,,,,,,,,,,,,,,,99,2023-07-24_16h00.49.775,FishGame,2023.1.3,59.85603473686067,
9,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,47.81907299096929,48.77492325101048,48.77492325101048,48.82499481498962,up,0.5495029059820808,None,1,,,,,,,,,,,,,,,,,,99,2023-07-24_16h00.49.775,FishGame,2023.1.3,59.85603473686067,
