welcome_key.keys,welcome_key.rt,welcome_key.duration,participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fish_key_2.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3
space,3.9852,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,,,,,,,,,,,,,,,,,,
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,,,,,,,,,,,,,,,,,,
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,space,31.1191,0.0001,,,,,,,,,,,,,,,,,,
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,,,,,,,,,,,,,,,,,,
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,,,,,,,,,,,,,,,,,,
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,left,2.4363,,1,0,0,0,0,1,1,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,left,0.6041,,1,0,1,1,1,1,2,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,up,3.157,,0,0,2,2,2,1,3,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,right,0.0077,1E-04,0,0,3,3,3,1,4,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,0,1,left
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,left,1.0299,0,1,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,up,1.5953,,0,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,left,0.8254,1E-04,1,0,6,6,6,1,7,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,left,1.4563,,0,0,7,7,7,1,8,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,1,2,up
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,up,0.7801,0.0001,1,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,up,1.1717,,1,0,9,9,9,1,10,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,up,0.7442,0.0001,1,0,10,10,10,1,11,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,up,0.6104,,1,0,11,11,11,1,12,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,up,1.3621,,1,0,12,12,12,1,13,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,up,1.0267,0.0002,1,0,13,13,13,1,14,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,up,0.4732,,1,0,14,14,14,1,15,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,right,1.6477,0.0001,1,0,0,0,0,1,1,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right
,,,Max!,2023-10-31_13h45.04.930,Fish_Game,2023.1.3,Win32,11.97375353,,,,,,,,0,1,1,1,1,2,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right
