welcome_key_keys,welcome_key_rt,welcome_key_duration,study_id,prolific_id,session_id,date,expName,psychopyVersion,OS,frameRate,path_id,subject_id,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3
space,0.8268,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,space,0.4714,,,,,,,,,,,,,,,,,,,,,
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,117.141,0,left,0.3332,,1,0,0,0,0,1,1,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,119.2909,1,left,0.3569,,1,0,1,1,1,1,2,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,121.9725,2,up,0.4752,,0,0,2,2,2,1,3,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,123.7699,3,left,0.1134,,1,0,3,3,3,1,4,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,0,1,left
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,125.7018,4,left,0.0337,,1,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,127.0666,5,left,0.1094,,1,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,129.0084,6,left,0.0851,,1,0,6,6,6,1,7,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,130.4077,7,left,0.046,,0,0,7,7,7,1,8,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,132.7891,8,left,0.0122,,0,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,135.1172,9,up,0.0709,,1,0,9,9,9,1,10,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,137.0182,10,up,0.0069,,1,0,10,10,10,1,11,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,138.8422,11,up,0.0712,,1,0,11,11,11,1,12,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,140.2422,12,up,0.1116,,1,0,12,12,12,1,13,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,142.6722,13,up,0.0065,,1,0,13,13,13,1,14,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,145.0041,14,up,0.1363,,1,0,14,14,14,1,15,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,151.4798,0,left,0.0409,,0,0,0,0,0,1,1,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,153.9159,1,right,0.1715,,1,0,1,1,1,1,2,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,155.9354,2,right,0.0701,,1,0,2,2,2,1,3,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,157.8257,3,right,0.1395,,1,0,3,3,3,1,4,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,2,3,right
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,160.2934,4,right,0.09,,1,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,162.7047,5,right,0.029,,1,0,5,5,5,1,6,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,164.0545,6,right,0.0019,,1,0,6,6,6,1,7,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,2,3,right
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,166.3847,7,right,0.0571,,1,0,7,7,7,1,8,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,168.7594,8,right,0.645,,0,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,171.2392,9,right,2.3467,,0,0,9,9,9,1,10,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,175.9171,10,left,0.234,,0,0,10,10,10,1,11,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,177.9781,11,left,0.3216,,0,0,11,11,11,1,12,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,179.6253,12,left,0.0865,,0,0,12,12,12,1,13,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,181.0399,13,left,0.0648,,0,0,13,13,13,1,14,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
,,,1C,pid,session_id,2024-01-02_10h54.49.109,Fish Game,2023.1.3,MacIntel,60.06006006,B,sid,,,,183.4211,14,up,0.0084,,1,0,14,14,14,1,15,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,1,2,up
