welcome_key_keys,welcome_key_rt,welcome_key_duration,study_id,path_id,date,expName,psychopyVersion,OS,frameRate,subject_id,session_id,prolific_id,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key_keys,ExpStart_key_rt,ExpStart_key_duration,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,pracBlock.ran,pracBlock.order,pracBlocksFile,prac_trials.order
space,1.3408,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,space,0.4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,110.6475,0,left,0.6538,,1,0,0,0,0,1,1,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,112.6321,1,up,0.0677,,0,0,1,1,1,1,2,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,114.0211,2,left,0.0677,,1,0,2,2,2,1,3,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,115.4184,3,left,0.001,,1,0,3,3,3,1,4,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,0,1,left,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,116.7492,4,left,0.0845,,1,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,118.6628,5,left,0.1213,,1,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,120.0975,6,left,0.1595,,1,0,6,6,6,1,7,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,122.076,7,left,0.2086,,0,0,7,7,7,1,8,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,123.5862,8,left,0.0928,,0,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,126.0017,9,left,0.2512,,0,0,9,9,9,1,10,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,128.0823,10,left,0.11,,0,0,10,10,10,1,11,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,129.5156,11,left,0.0468,,0,0,11,11,11,1,12,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,131.8789,12,left,0.0259,,0,0,12,12,12,1,13,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,133.7202,13,left,0.0419,,0,0,13,13,13,1,14,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,135.0857,14,up,0.1441,,1,0,14,14,14,1,15,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,142.0507,0,up,0.5376,,0,0,0,0,0,1,1,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,144.9007,1,up,0.0574,,0,0,1,1,1,1,2,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,
,,,1C,B,2024-01-02_11h17.36.763,Fish Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,147.2817,2,up,0.1193,,0,0,2,2,2,1,3,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,
