welcome_key_keys,welcome_key_rt,welcome_key_duration,group_id,path_id,date,expName,psychopyVersion,OS,frameRate,study_id,session_id,prolific_pid,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key_keys,ExpStart_key_rt,ExpStart_key_duration,block number,block assignment,main_trial_started,main_trial_num,trial_resp_keys,trial_resp_rt,trial_resp_duration,main_resp_corr,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3
space,9.7204,,1A,A,2024-02-16_14h44.12.299,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,A,2024-02-16_14h44.12.299,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,space,26.5197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,A,2024-02-16_14h44.12.299,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,A,2024-02-16_14h44.12.299,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,A,2024-02-16_14h44.12.299,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,A,2024-02-16_14h44.12.299,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,A,2024-02-16_14h44.12.299,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,173.8434,0,left,1.8859,,1,0,0,0,0,1,1,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,A,2024-02-16_14h44.12.299,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,177.5586,1,left,0.2675,,1,0,1,1,1,1,2,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,A,2024-02-16_14h44.12.299,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,179.66,2,right,1.6344,,0,0,2,2,2,1,3,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,A,2024-02-16_14h44.12.299,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,183.6289,3,left,1.0182,,1,0,3,3,3,1,4,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
