welcome_key_keys,welcome_key_rt,welcome_key_duration,study_id,path_id,date,expName,psychopyVersion,OS,frameRate,prolific_id,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key_keys,ExpStart_key_rt,ExpStart_key_duration,block number,block assignment,main_trial_started,main_trial_num,trial_resp_keys,trial_resp_rt,trial_resp_duration,main_resp_corr,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3
space,1.1694,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,space,74.5986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,207.4102,0,left,1.1882,,1,0,0,0,0,1,1,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,209.9379,1,left,0.6814,,1,0,1,1,1,1,2,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,211.9513,2,right,0.9654,,0,0,2,2,2,1,3,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,215.2477,3,up,0.7001,,0,0,3,3,3,1,4,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,218.2801,4,up,0.5323,,0,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,221.1555,5,up,0.5785,,0,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,223.5568,6,up,0.5071,,0,0,6,6,6,1,7,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,225.388,7,up,0.5392,,1,0,7,7,7,1,8,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,227.2526,8,up,0.5192,,1,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1A,path,2024-04-22_18h21.10.763,Fish Game,2023.1.3,MacIntel,59.17159763,pid,,,,230.1009,9,,,,,0,9,9,9,1,10,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,,,
